lat,lon
44.25,8.51
44.05,9.59
44.50,11.37
44.32,11.18
44.02,12.37
43.41,10.23
43.48,11.12
42.45,11.04
42.28,12.59
42.26,14.12
41.48,12.14
41.38,13.18
41.39,12.26
41.34,14.39
41.32,15.43
41.08,16.47
40.55,12.57
40.51,14.18
40.33,14.12
40.39,17.57
40.25,16.53
38.54,16.15
38.11,13.06
38.12,15.33
37.55,12.30
37.43,13.26
37.05,14.13
37.28,15.03
37.04,15.17
40.54,9.31
39.56,9.43
39.15,9.03
35.51,14.29
41.04,23.34
40.31,22.58
40.59,24.36
40.51,25.55
40.18,21.47
39.37,19.55
39.42,20.49
39.38,22.25
39.55,25.14
39.04,26.36
38.54,22.24
37.55,21.17
38.58,24.29
38.07,20.30
38.20,26.08
37.32,22.24
37.54,23.44
37.42,26.55
37.04,22.01
37.06,25.23
37.01,25.08
36.47,27.04
36.17,23.01
35.29,24.07
36.24,28.05
35.20,25.11
35.00,24.45
35.31,27.15
41.27,31.48
41.59,33.46
42.02,35.10
41.17,36.18
41.15,36.34
41.40,26.34
40.59,27.33
40.58,28.49
40.44,31.36
39.45,37.01
40.11,29.04
40.07,32.59
38.49,35.26
38.16,27.09
37.45,30.33
37.58,32.33
37.05,37.22
37.02,27.26
36.42,28.47
36.42,30.44
37.00,35.25
34.43,32.29
34.35,32.59
34.53,33.38
59.25,24.48
59.58,30.18
58.55,22.04
58.18,26.44
57.54,34.03
57.24,21.32
56.29,21.01
56.58,24.04
55.42,21.09
55.56,23.19
55.49,27.56
54.53,23.50
54.53,28.42
55.10,30.13
54.42,20.37
54.38,25.17
53.36,24.03
53.52,27.32
53.57,30.04
53.22,32.04
52.07,23.41
52.13,27.52
52.24,30.57
51.14,33.12
50.24,30.27
48.56,24.42
48.03,33.13
47.01,28.59
46.29,30.38
49.58,36.08
48.36,34.58
33.25,36.31
33.49,35.29
32.00,34.54
29.33,34.57
31.59,35.59
31.40,35.58
35.44,-5.54
34.47,-1.56
34.03,-6.46
33.56,-4.59
33.53,-5.32
33.34,-7.40
33.22,-7.35
31.37,-8.02
30.20,-9.24
35.17,-2.58
36.50,7.49
36.43,3.15
36.17,6.37
35.25,8.07
35.38,-0.36
34.20,3.23
32.24,3.48
31.30,-2.15
30.34,2.52
36.57,8.45
36.50,10.14
36.29,8.48
35.40,10.06
35.45,10.45
34.43,10.41
33.55,8.06
33.35,10.47
31.34,25.07
31.20,27.13
31.12,29.57
31.17,32.14
30.08,31.24
54.50,9.09
54.41,8.32
54.38,8.56
54.38,9.22
54.46,9.23
54.41,9.38
54.40,9.49
54.34,8.31
54.30,8.49
54.32,9.02
54.24,9.46
54.18,9.19
54.22,11.05
54.19,9.01
54.19,9.49
54.20,10.28
54.19,10.48
54.19,10.40
54.07,8.52
54.10,9.34
54.01,9.56
53.58,10.53
53.54,9.50
53.55,10.14
53.56,10.42
53.41,10.22
53.34,10.41
54.34,13.06
54.28,12.30
54.31,13.32
54.15,13.02
54.08,11.40
54.05,12.47
54.00,11.26
54.05,11.44
54.04,12.20
54.06,13.09
54.06,13.49
54.01,13.30
53.50,13.41
53.50,11.10
53.47,11.34
53.49,11.53
53.49,12.07
53.46,12.34
53.44,13.47
53.32,11.46
53.40,13.32
53.36,13.49
53.30,11.00
53.28,11.34
53.28,12.14
53.32,13.01
53.21,11.12
53.20,12.43
53.23,14.22
53.13,11.22
53.16,12.43
53.29,9.54
53.35,6.40
53.36,6.42
53.39,7.26
53.46,7.40
53.38,8.05
53.42,8.38
53.41,8.52
53.50,9.15
53.38,9.06
53.43,9.23
53.43,9.25
53.33,9.37
53.30,7.07
53.29,8.23
53.26,8.48
53.22,7.58
53.14,7.13
53.19,7.26
53.15,7.56
53.23,8.27
53.14,8.13
53.21,8.30
53.13,8.31
53.17,8.59
53.14,9.39
53.14,10.51
53.13,10.28
53.07,8.25
53.08,9.09
53.08,9.20
53.18,9.20
53.04,10.53
52.57,7.19
52.55,8.13
52.52,8.42
52.55,9.03
52.58,9.14
52.56,10.32
52.44,7.05
52.46,7.29
52.43,7.45
52.42,8.29
52.46,9.24
52.52,9.41
52.44,10.20
52.36,6.54
52.29,7.55
52.36,8.51
52.40,9.13
52.26,9.08
52.41,9.39
52.30,9.29
52.35,9.44
52.37,10.04
52.28,10.11
52.38,10.40
52.18,7.08
52.06,8.11
52.05,9.23
52.08,9.07
52.05,9.25
52.19,9.26
52.05,9.33
52.24,9.40
52.22,9.49
52.22,10.08
52.13,9.34
52.14,10.55
52.15,10.58
52.14,10.43
51.57,9.24
51.51,9.30
51.53,9.44
51.43,9.50
51.45,9.57
51.46,10.02
51.54,10.11
52.01,10.24
51.56,10.21
51.54,10.34
51.42,9.31
51.38,10.22
51.41,10.22
51.36,10.28
51.32,9.48
53.19,12.17
