"lat","lon","name"
57.51,114.14,"RU|Irkutsk Oblast|Bodaybinsky District"
65.01,25.23,"FI|Northern Ostrobothnia|Oulu sub-region"
51.04,14.26,"DE|SN|Sächsische Schweiz-Osterzgebirge"
26.26,49.48,"SA|Eastern Province|Al-Ahsa"
52.28,14.31,"DE|BB|Oder-Spree"
52.45,11.59,"DE|SA|Börde"
47.44,12.18,"AT|Tyrol|Tirol"
37.53,40.12,"TR|Mardin|Derik"
46.47,13.29,"IT|Friuli-Venezia Giulia|UD"
35.15,136.56,"JP|Mie|Inabe"
50.26,7.4,"DE|RP|Mayen-Koblenz"
49.28,8.31,"DE|RP|GER"
53.09,8.03,"DE|NDS|Ammerland"
48.03,10.31,"DE|BY|Schwaben"
42.54,20.52,""
51.51,9.3,"DE|HE|KS"
52.34,11.53,"DE|SA|Börde"
40.44,31.36,"TR|Bolu|Mudurnu"
47.26,19.16,"HU|Pest County|Gyál District"
50.57,1.49,"FR|Hauts-de-France|Pas-de-Calais"
51.43,9.56,"DE|HE|KS"
47.39,12.48,"AT|Tirol|Tyrol"
48.51,12.55,"DE|BY|Niederbayern"
49.34,11.53,"DE|BY|Oberpfalz"
61.03,28.12,"FI|South Karelia|Mäkelä"
48.51,10.3,"DE|BY|Schwaben"
48.16,25.58,"UA|Chernivets'ka oblast|Chernivtsi Oblast"
50.41,10.54,"DE|TH|Lower Franconia"
55.47,109.33,"RU|Buryatia|Severobaykal'skiy Rayon"
50.39,11.23,"DE|TH|SON"
60,26,"FI|Porvoo sub-region"
60.26,15.3,"SE|Dalarnas län|Dalarna County"
53.22,32.04,"BY|Mogilev Region|Kastsyukovichy District"
59.4,12.35,"SE|Värmlands län|Varmland County"
53.22,5.13,"NL|FR|Vlieland"
54,3,""
47.16,10.32,"AT|Tyrol|Tirol"
47.16,9.07,"CH|SG|See-Gaster"
48.56,8.42,"DE|BW|KA"
49.31,10.17,"DE|BY|Mittelfranken"
50.25,9.5,"DE|HE|DA"
24.42,46.44,"SA|Riyadh Province|Al-Muzahmiyya"
50.01,11.52,"DE|BY|Oberfranken"
52.18,9.28,"DE|NDS|Detmold"
41.02,43.53,"AM|Shirak Province|Shaghik"
50.01,14.27,"CZ|Středočeský kraj|Central Bohemian Region"
53.15,4.55,""
46.39,14.2,"SI|Radovljica|Municipality of Radovljica"
49.51,8.27,"DE|RP|Bad Dürkheim"
45,13,""
50.58,6.03,"BE|Région Wallonne|Wallonia"
49.51,7.51,"DE|RP|KUS"
45.39,13.45,"HR|Istarska županija|Istria County"
50.14,11.2,"DE|BY|Oberfranken"
46.42,11.56,"IT|Trentino-South Tyrol|Trentino-Alto Adige"
49.43,11.03,"DE|BY|Middle Franconia"
53.29,0.05,"GB|England|Lincolnshire"
37.35,36.55,"TR|Osmaniye|Düziçi"
49.41,9.01,"DE|BW|KA"
48.23,13.23,"AT|Upper Austria|Oberösterreich"
48.35,7.49,"FR|Grand Est|Bas-Rhin"
42,36,""
49.14,8.45,"DE|BW|KA"
51.1,13.23,"DE|SN|Mittelsachsen"
53.16,10.26,"DE|NDS|LG"
54.36,13.17,"DE|MV|Vorpommern-Rügen"
46.49,15.14,"SI|Slovenj Gradec|Municipality of Slovenj Gradec"
47.35,11.2,"AT|Tirol|Tyrol"
51.05,12.56,"DE|SN|Leipzig"
51.36,6.21,"NL|LI|Venlo"
36,34,""
51.05,11.56,"DE|TH|Weimarer Land"
16.58,7.59,"NE|Agadez Region|Tchirozerine"
48.05,12.31,"DE|BY|Oberbayern"
42.39,21.09,"Muhaxher"
35.24,35.56,""
52.17,7.53,"DE|NRW|MS"
44.46,16.42,"BA|Federacija Bosne i Hercegovine|Federation of Bosnia and Herzegovina"
47.51,9.02,"CH|TG|Münchwilen"
47.45,15.5,"AT|Styria|Steiermark"
36.4,68.55,"AF|Baghlan|Baghlani Jadid"
39.58,119.48,"CN|Hebei|Qinhuangdao"
42.45,10,""
50.38,9.24,"DE|HE|DA"
52.33,10.03,"DE|NDS|Region Hannover"
51.08,7.14,"DE|NRW|K"
47.42,8.28,"CH|AG|Baden District"
48.48,13.45,"AT|Upper Austria|Oberösterreich"
36.16,25.27,"GR"
43,9.22,""
40.38,47.09,"AZ|Bərdə|Barda"
55.58,21.06,"LT|Klaipėda County|Neringos sav."
42.16,118.58,"CN|Nei Meng Gu Zi Zhi Qu|Inner Mongolia"
50.23,13.2,"CZ|Karlovarský kraj|Karlovy Vary Region"
53.19,13.56,"DE|BB|UM"
29.15,88.53,"CN|Xi Zang Zi Zhi Qu|Tibet"
53.19,11.56,"DE|BB|Prignitz"
46.52,11.01,"IT|Trentino-South Tyrol|BZ"
47.27,10.26,"DE|AT|Tyrol"
51.55,12.53,"DE|SN|Nordsachsen"
